car_name,measurement_data_id,measurement_datetime,measurement_ms,latitude,longitude,gps_error_meter,accel_x_transverse,accel_y_longitudinal,accel_z_vertical,real_time_utc,real_time_jst,real_time_jst_ms,real_time_utc_ms
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020600054,37.505785,139.928607,2,0.361,0.611,9.813,2016-03-15 05:43:20.054000+00:00,2016-03-15 14:43:20.054000+09:00,2016-03-15 14:43:20.054,2016-03-15 05:43:20.054
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020600154,37.505785,139.928607,2,0.357,0.613,9.829,2016-03-15 05:43:20.154000+00:00,2016-03-15 14:43:20.154000+09:00,2016-03-15 14:43:20.154,2016-03-15 05:43:20.154
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020600254,37.505785,139.928607,2,0.36,0.615,9.798,2016-03-15 05:43:20.254000+00:00,2016-03-15 14:43:20.254000+09:00,2016-03-15 14:43:20.254,2016-03-15 05:43:20.254
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020600354,37.505785,139.928607,2,0.362,0.624,9.801,2016-03-15 05:43:20.354000+00:00,2016-03-15 14:43:20.354000+09:00,2016-03-15 14:43:20.354,2016-03-15 05:43:20.354
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020600454,37.505785,139.928607,2,0.359,0.607,9.808,2016-03-15 05:43:20.454000+00:00,2016-03-15 14:43:20.454000+09:00,2016-03-15 14:43:20.454,2016-03-15 05:43:20.454
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020600554,37.505785,139.928607,2,0.352,0.612,9.816,2016-03-15 05:43:20.554000+00:00,2016-03-15 14:43:20.554000+09:00,2016-03-15 14:43:20.554,2016-03-15 05:43:20.554
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020600654,37.505785,139.928607,2,0.355,0.609,9.826,2016-03-15 05:43:20.654000+00:00,2016-03-15 14:43:20.654000+09:00,2016-03-15 14:43:20.654,2016-03-15 05:43:20.654
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020600754,37.505785,139.928607,2,0.359,0.604,9.826,2016-03-15 05:43:20.754000+00:00,2016-03-15 14:43:20.754000+09:00,2016-03-15 14:43:20.754,2016-03-15 05:43:20.754
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020600854,37.505785,139.928607,2,0.361,0.614,9.806,2016-03-15 05:43:20.854000+00:00,2016-03-15 14:43:20.854000+09:00,2016-03-15 14:43:20.854,2016-03-15 05:43:20.854
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020600954,37.505785,139.928607,2,0.355,0.611,9.844,2016-03-15 05:43:20.954000+00:00,2016-03-15 14:43:20.954000+09:00,2016-03-15 14:43:20.954,2016-03-15 05:43:20.954
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020601054,37.505785,139.928607,2,0.354,0.612,9.8,2016-03-15 05:43:21.054000+00:00,2016-03-15 14:43:21.054000+09:00,2016-03-15 14:43:21.054,2016-03-15 05:43:21.054
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020601154,37.505785,139.928607,2,0.351,0.616,9.824,2016-03-15 05:43:21.154000+00:00,2016-03-15 14:43:21.154000+09:00,2016-03-15 14:43:21.154,2016-03-15 05:43:21.154
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020601254,37.505785,139.928607,2,0.346,0.605,9.838,2016-03-15 05:43:21.254000+00:00,2016-03-15 14:43:21.254000+09:00,2016-03-15 14:43:21.254,2016-03-15 05:43:21.254
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020601354,37.505785,139.928607,2,0.356,0.612,9.837,2016-03-15 05:43:21.354000+00:00,2016-03-15 14:43:21.354000+09:00,2016-03-15 14:43:21.354,2016-03-15 05:43:21.354
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020601454,37.505785,139.928607,2,0.351,0.615,9.88,2016-03-15 05:43:21.454000+00:00,2016-03-15 14:43:21.454000+09:00,2016-03-15 14:43:21.454,2016-03-15 05:43:21.454
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020601554,37.505785,139.928607,2,0.352,0.62,9.853,2016-03-15 05:43:21.554000+00:00,2016-03-15 14:43:21.554000+09:00,2016-03-15 14:43:21.554,2016-03-15 05:43:21.554
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020601654,37.505785,139.928607,2,0.346,0.627,9.886,2016-03-15 05:43:21.654000+00:00,2016-03-15 14:43:21.654000+09:00,2016-03-15 14:43:21.654,2016-03-15 05:43:21.654
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020601754,37.505785,139.928607,2,0.344,0.614,9.866,2016-03-15 05:43:21.754000+00:00,2016-03-15 14:43:21.754000+09:00,2016-03-15 14:43:21.754,2016-03-15 05:43:21.754
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020601854,37.505785,139.928607,2,0.345,0.613,9.85,2016-03-15 05:43:21.854000+00:00,2016-03-15 14:43:21.854000+09:00,2016-03-15 14:43:21.854,2016-03-15 05:43:21.854
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020601954,37.505785,139.928607,2,0.345,0.616,9.851,2016-03-15 05:43:21.954000+00:00,2016-03-15 14:43:21.954000+09:00,2016-03-15 14:43:21.954,2016-03-15 05:43:21.954
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020602054,37.505785,139.928607,2,0.35,0.612,9.853,2016-03-15 05:43:22.054000+00:00,2016-03-15 14:43:22.054000+09:00,2016-03-15 14:43:22.054,2016-03-15 05:43:22.054
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020602154,37.505785,139.928607,2,0.355,0.621,9.838,2016-03-15 05:43:22.154000+00:00,2016-03-15 14:43:22.154000+09:00,2016-03-15 14:43:22.154,2016-03-15 05:43:22.154
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020602254,37.505785,139.928607,2,0.348,0.615,9.876,2016-03-15 05:43:22.254000+00:00,2016-03-15 14:43:22.254000+09:00,2016-03-15 14:43:22.254,2016-03-15 05:43:22.254
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020602354,37.505785,139.928607,2,0.357,0.618,9.852,2016-03-15 05:43:22.354000+00:00,2016-03-15 14:43:22.354000+09:00,2016-03-15 14:43:22.354,2016-03-15 05:43:22.354
