u,v,key,length_m,accident_count
291491964,1437167303,0,56.135,0
291491964,3069703611,0,93.265,4
1783200513,4184756009,0,17.737,0
1437167303,9727618337,0,51.249,0
1437167303,3069703616,0,210.61100000000005,0
3069703611,3069703610,0,24.846,1
3069703611,1783200513,0,121.20400000000001,0
1437167408,4101143295,0,31.659,0
1437167408,1437167426,0,433.448,1
1437167408,1437167465,0,682.413,0
1477877772,1477877771,0,28.289,3
1477877772,2546388270,0,300.282,6
291492019,291491964,0,705.144,12
291492021,2541365980,0,28.134,0
291492021,2541365982,0,148.918,1
2541365980,291492019,0,34.271,0
2541365982,2541365980,0,140.107,2
2541365982,6984817882,0,330.246,3
291492059,3019202869,0,218.18,0
3019202869,12769074870,0,335.9630000000001,3
3019202869,3020836804,0,296.50699999999995,1
291492171,291492207,0,468.53900000000004,0
291492207,3019202849,0,99.334,0
291492207,3019274681,0,124.59800000000003,0
3019202849,3019365347,0,9.767,0
3019274681,2008275372,0,11.086,0
3019274681,7222640056,0,244.13899999999998,0
291492269,1437166859,0,15.723,0
291492269,1437166878,0,183.40000000000003,2
1437166859,291492269,0,15.723,0
1437166859,1437166857,0,10.123,0
1437166859,2008275386,0,1552.808,1
1437166878,1261928776,0,18.126,1
1437166878,1261928735,0,17.415,0
1437166878,1437166873,0,170.566,1
1437166878,7222609869,0,334.1170000000001,4
291502262,291502359,0,448.874,0
291502262,1087674756,0,38.64,0
291502359,291502791,0,2274.188,1
1087674756,5228356939,0,340.84999999999997,0
1087674756,1087674748,0,149.083,0
291502791,291502841,0,495.275,0
291502841,1705556559,0,334.135,0
291502841,291503471,0,4089.772,62
1705556559,1705228765,0,53.871,0
1705556559,1705228724,0,95.874,0
291503471,291503590,0,1086.29,41
291503590,291504514,0,4273.4490000000005,218
291503590,837652593,0,384.194,7
291504514,1733814801,0,365.009,3
291504514,291504581,0,736.1300000000001,23
837652593,9310195644,0,73.273,0
1733814801,1087756344,0,25.426,0
1733814801,6427110774,0,84.09,3
291504581,291504867,0,1706.0250000000005,38
291504867,1831552679,0,297.30999999999995,20
291504867,291504921,0,525.199,37
1831552679,1831552678,0,22.768,7
1831552679,1477877843,0,13.695,0
291504921,291505009,0,676.191,10
291505009,600799044,0,249.38199999999995,1
291505009,291505040,0,224.08800000000002,2
600799044,8399000412,0,12.058,0
600799044,8399000395,0,23.176000000000002,1
291505040,6986871236,0,108.564,1
291505040,380068020,0,363.63,3
291541919,380066080,0,182.29,0
380066080,380066076,0,606.3230000000001,3
292776576,1830832666,0,222.59099999999998,25
292776576,7298774896,0,47.23,16
1830832666,291504921,0,389.89700000000005,15
1830832666,1830832695,0,271.48400000000004,3
7298774896,5830521470,0,11.74,1
7298774896,7298774895,0,93.96300000000001,6
292776592,1942590684,0,181.906,8
292776592,1929005692,0,62.38199999999999,2
1942590684,5834610221,0,17.608,3
1942590684,11545982580,0,110.14999999999999,2
1929005692,1929006056,0,57.693,0
1929005692,292776592,0,62.382,2
1929005692,1928582265,0,45.269000000000005,0
292776644,8399000405,0,411.32599999999996,6
292776644,292777000,0,501.8949999999999,7
8399000405,8399000412,0,12.157,3
8399000405,8399000404,0,25.563000000000002,1
292776848,2580565886,0,983.062,27
2580565886,2580565983,0,1055.3120000000001,29
2580565886,1799186154,0,375.769,13
292776989,1928565652,0,290.728,12
292776989,1830832695,0,383.67,18
1928565652,7298774893,0,21.19,0
1928565652,1928565403,0,29.813,0
1830832695,302503430,0,1769.464,67
294102809,294102814,0,264.439,3
294102809,6353793939,0,283.783,0
294102814,294102815,0,101.55000000000001,0
6353793939,1948975910,0,683.563,0
294102815,1109224703,0,461.3610000000001,1
294102815,294102830,0,462.7559999999999,2
1109224703,1109224224,0,1617.0699999999997,1
294102830,2580616875,0,1383.398,2
2580616875,976664198,0,402.088,0
