value,tag,count
yes,internet_access:fee,1
yes,junction,1
yes,memorial,1
yes,monitoring:air_quality,1
yes,monitoring:noise,1
yes,park_ride,1
yes,payment:discover,1
yes,payment:mufg_card,1
yes,ramp:wheelchair,1
yes,reservation,1
yes,safety_inspection,1
yes,seasonal,1
yes,sidewalk:left,1
yes,social_facility,1
yes,source,1
yes,substation,1
yes,toilets:handwashing,1
yes,tourism,1
