serial number,year,date,time,accident details,route,accident type,party 1,party 2,Party 3,Party 4,Party 5,latitude,longitude,elementary school district,dead
127,H29,5/15/2017,8:15,軽傷事故,一般市道,出合い頭,自転車,自転車,,,,34.79307167,135.4083556,,
128,H29,5/15/2017,14:45,軽傷事故,一般市道,出合い頭,自転車,自転車,,,,34.77567083,135.4072678,,
129,H29,5/15/2017,16:26,軽傷事故,県道尼崎池田線,左折時,自転車,自動車,,,,34.79784111,135.4144928,,
130,H29,5/16/2017,13:07,軽傷事故,一般市道,出合い頭,自動車,自転車,,,,34.77188667,135.38683,,
131,H29,5/17/2017,7:20,軽傷事故,県道尼崎池田線,出合い頭,自動車,自転車,,,,34.78721389,135.4169969,,
132,H29,5/17/2017,12:15,軽傷事故,一般市道,出合い頭,自動車,自転車,,,,34.78351694,135.4117031,,
133,H29,5/18/2017,8:10,軽傷事故,一般市道,車両相互,自動車,自転車,,,,34.76781694,135.4141639,,
134,H29,5/18/2017,8:20,軽傷事故,一般市道,出合い頭,自転車,自動車,,,,34.77289194,135.41574,,
135,H29,5/18/2017,15:10,軽傷事故,一般市道,左折時,原付,自転車,,,,34.78023806,135.4165,,
136,H29,5/19/2017,17:55,軽傷事故,一般市道,出合い頭,自転車,二輪車,,,,34.79428389,135.4201061,,
137,H29,5/23/2017,13:00,軽傷事故,一般市道,出合い頭,自転車,自動車,,,,34.76202639,135.3969803,,
138,H29,5/25/2017,7:45,軽傷事故,県道姥ケ茶屋伊丹線,右折時,自動車,自転車,,,,34.79080806,135.4041869,,
139,H29,5/27/2017,22:25,軽傷事故,一般市道,出合い頭,自転車,自転車,,,,34.78172194,135.4156311,,
140,H29,5/28/2017,9:25,軽傷事故,県道山本伊丹線,出合い頭,自動車,自転車,,,,34.78413583,135.40868,,
141,H29,5/28/2017,10:00,軽傷事故,一般市道,車両相互,自動車,自転車,,,,34.781005,135.40708,,
142,H29,5/31/2017,6:35,軽傷事故,国道171号,出合い頭,自動車,自転車,,,,34.77490194,135.3859981,,
